Year,Undergraduate,Postgraduate,Total
2000,1541225,406905,1948135
2001,1615130,427455,2042580
2002,1676920,454190,2131110
2003,1722685,477495,2200175
2004,1753810,482115,2235925
2005,1789025,492755,2281780
2006,1802280,502965,2305250
2007,1804305,501480,2305780
2008,1860425,537160,2397585
2009,1914835,578915,2493750
2010,1913940,589070,2503010
2011,1928140,568490,2496635
2012,1803755,536715,2340470
2013,1760020,539440,2299460
2014,1777645,538195,2315840
2015,1801570,531255,2332825
2016,1818565,558410,2376975
2017,1833205,582460,2415660
2018,1854140,603005,2457150
2019,1889475,642915,2532385
